What is your gender?,,What is your age?,What's your highest educational qualification?,What's your occupation?,,How long have you been engaged in software development?,How often do you participate in or contribute to open source software communities?,Do you agree that the following factors motivate you to make contributions on Stack Overflow? Please choose an option for each factors.,,,,,,,,,,,,,I feel enthusiastically when tackling difficult problems.,"When facing a difficult problem, I try my best to solve it.",I feel very competent when I am solving others' problems.,"When participating in Stack Overflow, I get many chances to show my capability.",I feel like I can pretty much be myself when participating the community.,I feel like I can make a lot of inputs to deciding how I contribute to the community.,People in the community are pretty friendly towards me.,I really like the people in the community.,Do you agree that the following incentive mechanisms have a long-term incentive effect on user participation?,,,"Do you agree that the reputation and ranking mechanisms have a negative impact on the community atmosphere? e.g., people are competitive in earning reputation points.","Do you agree that the privilege mechanism can discourage and decrease user participation? e.g., the users without certain privileges cannot perform certain activities.","Do you agree that the incentive mechanisms have a negative impact on contribution quality? e.g., people try to post the first answer to a question as soon as possible, without paying enough attention to quality.","Do you agree that the incentive mechanisms have a negative impact on solving difficult questions? e.g., people try to answer easy questions to earn reputation and badges, and they do not want to devote their time to tackling difficult questions.",Write down anything about your pain points and advices on incentive mechanisms in Stack Overflow?,[OPTIONAL] Write down anything you want to say about Stack Overflow.
Response,Other (please specify),Response,Response,Response,Other (please specify),Response,Response,To learn and improve programming skills,To help others,For fun and enjoyment,Feeling personal obligation to contribute to the community,"To construct identity in the community, e.g., obtaining certain privileges",To provide support for my work,"To gain reputation in the community, e.g., earning reputation points",To gain recognition from peers,"Returning the favor of getting help, or getting help when I¨¹m stuck","To obtain virtual rewards, e.g., earning certain badges",To signal capability to potential employers,To improve future job prospects,Other motivations (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Reputation points,Badges,Ranking,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response
Other (please specify),attack helicopter,35-44,High school or below,Other (please specify),bass player,6~10 years,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Always,Always,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,people are too subjective,please change name to copy-paste.com
Other (please specify),Male,25-34,Master degree,Other (please specify),Freelance ,6~10 years,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,,Usually,Usually,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Bounty ,
Other (please specify),Apache Helicopter,65+,Doctorate or above,Other (please specify),Full-time troll,<1 year,Always,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,To troll,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree, This question requires an answer. ,
Other (please specify),Mostly male,25-34,Bachelor degree,Student,,6~10 years,Usually,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,,Usually,Always,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,"I think other means for earning reputation could be beneficial for engaged community members. For instance, badges could also provide reputation points.",One of the main things I like about Stack Overflow (and Stack Exchange as a whole) is that it fosters interaction between anyone. People don't need to be friends in order to ask / reply questions one another.
Male,,55-64,Doctorate or above,Other (please specify),Data Scientist,>10 years,Rarely,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Agree,,Usually,Always,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,"Pain point: finding a useful solution to a common problem faced by developers. Examples: installation of Linux libraries on OSX, or compiling open source software.  Incentives: clearly explained solutions that avoid jargon or casual references to specialized knowledge","Access to the comment field needs work. Often, someone who lacks sufficient privileges to make a comment will post an answer to a question, only to be chastised by others for not posting a comment instead. This causes negative feelings and reduces participation. Also, a significant fraction of the community seems bent on criticizing others, or making inappropriate snarky remarks. This has a negative impact on the overall experience of using Stack Overflow and should be discouraged."
Male,,25-34,Master degree,Self-employed,,1~5 years,Sometimes,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,,Usually,Usually,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,"Better system of notification when new question arrive, ",
Male,,45-54,High school or below,Company employee,,>10 years,Rarely,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,,Usually,Always,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,Anonymous negative point should not be posted without comment,Incentive / Rewards mechanic works very well in whole. Think twice before apply any change    
Male,,25-34,Bachelor degree,Company employee,,1~5 years,Always,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,,Usually,Always,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,"nothing, really. I love the site very much. Maybe more integrations with other popular development sites in the user profiles",
Male,,55-64,Bachelor degree,Self-employed,,>10 years,Usually,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,,Always,Always,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Sad when I had something to contribute but couldn't due to lack of points.,"Having been a developer for over 30 years, when I started everything had to be searched in paper manuals. These days with Stack Overflow and Google it is so much more productive. Thanks."
